"Asset ID","Description","Short Description","CYP Template","RSA Template","Parent Object","Related CCTV","Location","Floor","Room","Functional Cat 1","Functional Cat 2","Functional Cat 3","Starting Address","Source Connection","DB Address","Version","modifieddatetime","rsa_device_description","device_reviewed","x_coordinate","y_coordinate","modifieduser","display_maps","x_px_coordinate","y_px_coordinate"
TSC_LFT_0001,Lift 1 FOH (Platform To Concourse),Lift 1,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1357"",""TSC CAM1358""}",TSC,TSC_B4,TSC_B4_LFT-1,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:02.930,Lift 1 FOH (B4 Basement to B3 Basement),,-5300499071,2407281598,root,true,3396,2320
TSC_LFT_0002,Lift 2 FOH (Platform To Concourse),Lift 2,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1355"",""TSC CAM1356""}",TSC,TSC_B4,TSC_B4_LFT-2,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:05.342,Lift 2 FOH (B4 Basement to B3 Basement),,-5300493894,2407281598,root,true,3500,2320
TSC_LFT_0003,Lift 3 FOH (Platform To Platform Mezzanine),Lift 3,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1427"",""TSC CAM1428""}",TSC,TSC_B4,TSC_B4_LFT-3,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:05.612,Lift 3 FOH (B4 Basement to B3 Basement),,-5300371809,2407283979,root,true,7800,2128
TSC_LFT_0004,Lift 4 FOH (Platform To Platform Mezzanine),Lift 4,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1429"",""TSC CAM1430""}",TSC,TSC_B4,TSC_B4_LFT-4,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:06.265,Lift 4 FOH (B4 Basement to B3 Basement),,-5300366667,2407283989,root,true,7906,2128
TSC_LFT_0005,Lift 5 FOH (Concourse To Street),Lift 5,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1015"",""TSC CAM1016""}",TSC,TSC_B3,TSC_B3_LFT-5,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:06.652,Lift 5 FOH (B3 Basement to GF Ground Floor),,-5300499047,2407320941,root,true,3322,828
TSC_LFT_0006,Lift 6 FOH (Concourse To Street),Lift 6,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1020"",""TSC CAM1021""}",TSC,TSC_B3,TSC_B3_LFT-6,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:06.895,Lift 6 FOH (B3 Basement to GF Ground Floor),,-5300498127,2407320941,root,true,3428,828
TSC_LFT_0007,Lift 7 FOH (Platform Mezzanine To Concourse One),Lift 7,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1557"",""TSC CAM1556""}",TSC,TSC_B3,TSC_B3M_LFT-7,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:07.572,Lift 7 FOH (B3 Basement to B2 Basement),,-5300361782,2407243739,root,true,8078,3630
TSC_LFT_0008,Lift 8 FOH (Platform Mezzanine To Concourse One),Lift 8,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1558"",""TSC CAM1559""}",TSC,TSC_B3,TSC_B3_LFT-8,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:07.792,Lift 8 FOH (B3 Basement to B2 Basement),,-5300366857,2407243748,root,true,7974,3630
TSC_LFT_0009,Lift 9 FOH (Platform Mezzanine To Street),Lift 9,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1295"",""TSC CAM1296""}",TSC,TSC_B1,TSC_B1_LFT-9,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:08.648,Lift 9 FOH (B3 Basement to GF Ground Floor),,-5300274354,2407303628,root,true,11230,1544
TSC_LFT_0010,Lift 10 FOH (Concourse To Street),Lift 10,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1107"",""TSC CAM1108""}",TSC,TSC_B2,TSC_B2_LFT-10,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:09.195,Lift 10 FOH (B2 Basement to GF Ground Floor),,-5300348384,2407243042,root,true,8518,3560
TSC_LFT_0011,Lift 11 FOH (Concourse To Street),Lift 11,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1105"",""TSC CAM1106""}",TSC,TSC_B2,TSC_B2_LFT-11,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:09.582,Lift 11 FOH (B2 Basement to GF Ground Floor),,-5300348493,2407248129,root,true,8518,3462
TSC_LFT_0012,Lift 12 BOH (B4 Basement To B3 Basement),Lift 12,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1206"",""TSC CAM1207""}",TSC,TSC_B4,TSC_B4_LFT-12,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:10.368,Lift 12 BOH (B4 Basement to B3 Basement),,,,root,true,1940,2222
TSC_LFT_0013,Lift 13 BOH (B4 Basement To Street),Lift 13,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1023"",""TSC CAM1024""}",TSC,TSC_B3,TSC_B3_LFT-13,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:10.848,Lift 13 BOH (B4 Basement to GF Ground Floor),,-5300491040,2407324705,root,true,3560,822
TSC_LFT_0014,Lift 14 BOH (B6 Basement To B3 Basement),Lift 14,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1288"",""TSC CAM1289""}",TSC,TSC_B3,TSC_B3_LFT-14,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:11.393,Lift 14 BOH (B6 Basement to B3 Basement),,-5300300392,2407277490,root,true,10280,2338
TSC_LFT_0015,Lift 15 BOH (B4 Basement To Ground Mezzanine),Lift 15,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1276"",""TSC CAM1277""}",TSC,TSC_B3,TSC_B3M_LFT-15,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:11.812,Lift 15 BOH (B4 Basement to GF Ground Floor),,,,root,true,9158,4690
TSC_LFT_0016,Lift 16 FOH (Platform To Platform Mezzanine),Lift 16,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1285"",""TSC CAM1286""}",TSC,TSC_B4,TSC_B4_LFT-16,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:12.329,Lift 16 FOH (B4 Basement to B3 Basement),,-5300300805,2407283843,root,true,10278,2224
TSC_LFT_0017,Lift 17 BOH (B4 Basement To B3 Basement),Lift 17,cyppanels_BMSlift,BMS_LIFT,,"{""TSC CAM1554"",""TSC CAM1555""}",TSC,TSC_B4,TSC_B4_LFT-17,1,2,2,"",28,DB_LFT_HMI,,2025-03-06 10:40:12.631,Lift 17 BOH (B4 Basement to B3 Basement),,-5300535986,2407312744,root,true,2022,1242
