"cctv_id","description","location","floor","room","x_coordinate","y_coordinate","z_coordinate","orientation","modifieddatetime","x_px_coordinate","y_px_coordinate"
TSC CAM1279,,TSC,TSC_B3,,-5300325400,2407209347,,,2024-11-20 13:16:41.066,9869,4333
TSC CAM1281,,TSC,TSC_B3,,-5300585379,2407383047,,,2024-11-20 13:16:41.066,9863,2215
TSC CAM1282,,TSC,TSC_B3,,-5300584121,2407377272,,,2024-11-20 13:16:41.066,10261,1473
TSC CAM1285,,TSC,TSC_B3,,-5300591519,2407337631,,,2024-11-20 13:16:41.066,10243,2257
TSC CAM1286,,TSC,TSC_B3,,-5300589272,2407282271,,,2024-11-20 13:16:41.066,10313,2189
TSC CAM1287,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.066,10159,2223
TSC CAM1288,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.066,10243,2365
TSC CAM1289,,TSC,TSC_B3,,-5300581931,2407282140,,,2024-11-20 13:16:41.066,10313,2297
TSC CAM1294,,TSC,TSC_B3,,-5300585809,2407257041,,,2024-11-20 13:16:41.066,10949,1245
TSC CAM1297,,TSC,TSC_B3,,-5300356002,2407236823,,,2024-11-20 13:16:41.066,9985,2621
TSC CAM1298,,TSC,TSC_B3,,-5300470496,2407253023,,,2024-11-20 13:16:41.066,10267,2473
TSC CAM1299,,TSC,TSC_B3,,-5300465393,2407244777,,,2024-11-20 13:16:41.066,10269,2621
TSC CAM1301,,TSC,TSC_B3,,-5300460741,2407256993,,,2024-11-20 13:16:41.066,10185,3035
TSC CAM1302,,TSC,TSC_B3,,-5300464846,2407251244,,,2024-11-20 13:16:41.066,9921,4259
TSC CAM1303,,TSC,TSC_B3,,-5300425390,2407240247,,,2024-11-20 13:16:41.066,9863,2247
TSC CAM1314,,TSC,TSC_B3,,-5300390649,2407223613,,,2024-11-20 13:16:41.066,8785,3669
TSC CAM1536,,TSC,TSC_B3,,-5300320218,2407210156,,,2024-11-20 13:16:41.066,9243,4751
TSC CAM1546,,TSC,TSC_B3,,-5300518870,2407307963,,,2024-11-20 13:16:41.066,2007,2297
TSC CAM1555,,TSC,TSC_B3,,-5300504895,2407300579,,,2024-11-20 13:16:41.066,1991,1281
TSC CAM1585,,TSC,TSC_B3,,-5300393667,2407307960,,,2024-11-20 13:16:41.100,4801,1557
TSC CAM1588,,TSC,TSC_B3,,-5300374937,2407310524,,,2024-11-20 13:16:41.100,8037,2223
TSC CAM1333,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,2245,2409
TSC CAM1334,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,2453,2031
TSC CAM1335,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,3387,2087
TSC CAM1337,,TSC,TSC_B4,,-5300590090,2407356395,,,2024-11-20 13:16:41.066,2451,2409
TSC CAM1338,,TSC,TSC_B4,,-5300589632,2407395181,,,2024-11-20 13:16:41.066,3313,2333
TSC CAM1341,,TSC,TSC_B4,,-5300594132,2407371059,,,2024-11-20 13:16:41.066,2661,2407
TSC CAM1342,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,3217,2517
TSC CAM1343,,TSC,TSC_B4,,-5300590290,2407348373,,,2024-11-20 13:16:41.066,2447,2085
