"Asset ID","Description","Short Description","RSA Template","Related CCTV","Location","Floor","Room","Source Connection","rsa_device_description","x_coordinate","y_coordinate","display_maps"
TSC-Z-66110,"Zone 66110: B4 OSD, HV SUB A - GAS 610-71 TSC-OC-03",Z-66110,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 66110: B4 OSD, HV SUB A - GAS 610-71 TSC-OC-03",,,true
TSC-Z-66111,"Zone 66111: B4 OSD, HV SUBSTATION A 610-71 TSC-OC-03",Z-66111,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 66111: B4 OSD, HV SUBSTATION A 610-71 TSC-OC-03",,,true
TSC-Z-66122,"Zone 66122: B4 OSD, HV SUBB-FLT/ISO 610-72 TSC-OC-04",Z-66122,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 66122: B4 OSD, HV SUBB-FLT/ISO 610-72 TSC-OC-04",,,true
TSC-Z-66130,"Zone 66130: B4 OSD, TVS/MCC - GAS 652-71 TSC-OC-08",Z-66130,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 66130: B4 OSD, TVS/MCC - GAS 652-71 TSC-OC-08",,,true
TSC-Z-66131,"Zone 66131: B4 OSD, TVS/MCC ROOM 652-71 TSC-OC-08",Z-66131,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 66131: B4 OSD, TVS/MCC ROOM 652-71 TSC-OC-08",,,true
TSC-Z-66132,"Zone 66132: B4 OSD, TVS/MCC-FLT/ISO 652-71 TSC-OC-08",Z-66132,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 66132: B4 OSD, TVS/MCC-FLT/ISO 652-71 TSC-OC-08",,,true
TSC-Z-66140,"Zone 66140: B4 OSD, EQUIP - GAS 706-71 TSC-OC-05",Z-66140,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 66140: B4 OSD, EQUIP - GAS 706-71 TSC-OC-05",,,true
TSC-Z-66141,"Zone 66141: B4 OSD, EQUIPMENT ROOM 706-71 TSC-OC-05",Z-66141,FDS_ZONE,,TSC,TSC_B4,,97,"Zone 66141: B4 OSD, EQUIPMENT ROOM 706-71 TSC-OC-05",,,true
TSC-SPE-3214,"B4 OSD, HV SUB B 610-72, TSC-SPE-3214",SPE-3214,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, HV SUB B 610-72, TSC-SPE-3214",-5300333824,2407237420,true
TSC-SPE-3216,"B4 OSD, HV SUB A 610-71, TSC-SPE-3216",SPE-3216,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, HV SUB A 610-71, TSC-SPE-3216",-5300333323,2407245593,true
TSC-SPE-3217,"B4 OSD, HV SUB A 610-71, TSC-SPE-3217",SPE-3217,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, HV SUB A 610-71, TSC-SPE-3217",-5300340312,2407245993,true
TSC-SPE-3227,"B4 OSD, TVS/MCC 652-71, TSC-SPE-3227",SPE-3227,FDS_DEVICE,,TSC,TSC_B4,,97,"B4 OSD, TVS/MCC 652-71, TSC-SPE-3227",-5300358442,2407234904,true
TSC-SPE-3276,"B5 OSD, AIRLOCK 153-78, TSC-SPE-3276",SPE-3276,FDS_DEVICE,,TSC,TSC_B5,,97,"B5 OSD, AIRLOCK 153-78, TSC-SPE-3276",-5300328081,2407214081,true
TSC-SPE-3279,"B5 OSD, BOH C'DOR 151-78, TSC-SPE-3279",SPE-3279,FDS_DEVICE,,TSC,TSC_B5,,97,"B5 OSD, BOH C'DOR 151-78, TSC-SPE-3279",-5300359776,2407256376,true
